text,entities,user,geo
We ll evaluate Covid19 situation based on ICU cases says ,['Covid19'],838397845329719297,
A national holiday in Ireland Day of Remembrance and Recognition is a one off public holiday held in memory of ,"['Ireland', 'Remembrance']",1372670295266500613,
 WOW look at Vietnam! Basically no COVID 19 Cases AT ALL until they started VAXXING!!! COVID19 ,['COVID19'],1460240119701536777,
Delta Air Lines announces first Pay raise since before Pandemic Coronavirus COVID19 Employees Yahoo,"['Pay', 'Pandemic', 'Coronavirus', 'COVID19', 'Employees', 'Yahoo']",96718576,
Craniotomy is the surgical removal of some part of the bone from the skull to expose the brain. lilyhospitals ,['lilyhospitals'],3438935507,
With covid19 having a huge effect on working lives and life choices in a new article for our Director ,['covid19'],70662915,
The pandemic is not over. Everyone needs another jab now. This is urgent. Johnson and the Tories are only conce ,[],303324434,
Thread. COVID19 CovidIsNotOver ,"['COVID19', 'CovidIsNotOver']",14534361,
Devex CheckUp At last a TRIPS waiver compromise. But who s happy? COVID 19 vaccineequity ,"['COVID', 'vaccineequity']",277570942,
7 Day Covid Deaths per 1K Population by County For AR 2022 03 14 Latest Covid Insights by Our Analytics Team us ,[],3219670842,
Cities across China strengthen COVID19 control amid epidemic resurgence ,"['China', 'COVID19', 'epidemic']",2985114866,
The COVID19 rapid antigen test kits developed by Neo Nostics in Taicang Suzhou were submitted for approval for r ,"['COVID19', 'Suzhou']",1437238917284212737,
Covid 19 illness may increase the risk of long term adverse mental health effects with patients experiencing depre ,[],1423693206558887939,
Transmission of SARS CoV 2 from mother to baby is rare COVID19 pregnancy ,"['COVID19', 'pregnancy']",715923426,
No doubt China is the best Nation to control spread of CoronaVirus just have a look ChinaExposed for brutali ,"['CoronaVirus', 'ChinaExposed']",1421511553610772485,
Hubs be positive. I think I'm ready. COVID19 TheGammos ,"['COVID19', 'TheGammos']",356455415,
Those covid cases are definitely creeping up... the map is turning orange and even red again. Left 18/03/2022 vs ,[],17079818,
I m in my 30 s fit and well double vaccinated and boostered and I ve been totally floored by COVID this week. ,['COVID'],304291538,
7 Day Covid Deaths per 1K Population by County For AR 2022 03 14 Latest Covid Insights by Our Analytics Team us ,[],3219670842,
I ve had better weeks COVID19 10dayspositive ,"['COVID19', '10dayspositive']",57892704,
DYK? Many girls kept from school during the COVID19 pandemic will never return in many cases their childhood w ,"['DYK', 'COVID19']",951875175678644224,
Today s date 2 years ago 18th March 2020 mco COVID19,"['mco', 'COVID19']",743081580,
Rumour is has canned ALL COVID19 measures ,['COVID19'],1446583235165655040,
Italy to end state of emergency and begin easing COVID 19 restrictions COVID 19,['COVID'],97398694,
